time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2024-01-01,21.3,8.60,0.00,5.22
2024-01-02,20.9,6.30,0.00,7.92
2024-01-03,22.0,2.20,0.00,5.72
2024-01-04,22.1,7.80,0.00,4.66
2024-01-05,21.1,21.80,0.00,2.41
2024-01-06,20.7,20.90,0.00,3.93
2024-01-07,21.4,20.80,0.00,4.44
2024-01-08,20.9,10.50,0.00,4.59
2024-01-09,20.7,13.20,0.00,4.10
2024-01-10,21.5,5.20,0.00,3.96
2024-01-11,21.3,0.40,0.00,4.06
2024-01-12,21.1,0.00,0.00,4.67
2024-01-13,21.5,0.00,0.00,4.11
2024-01-14,22.2,0.80,0.00,3.21
2024-01-15,21.3,22.80,0.00,4.65
2024-01-16,20.8,17.90,0.00,3.38
2024-01-17,20.6,54.90,0.00,4.85
2024-01-18,19.5,49.90,0.00,5.78
2024-01-19,18.9,12.60,0.00,3.76
2024-01-20,20.1,7.30,0.00,5.03
2024-01-21,20.8,9.40,0.00,4.34
2024-01-22,21.6,27.80,0.00,3.13
2024-01-23,22.3,0.20,0.00,4.68
2024-01-24,21.3,2.90,0.00,4.06
2024-01-25,19.1,4.50,0.00,3.59
2024-01-26,18.1,3.60,0.00,4.28
2024-01-27,18.9,15.50,0.00,2.86
2024-01-28,19.8,9.10,0.00,2.44
2024-01-29,20.2,25.40,0.00,4.06
2024-01-30,20.3,1.60,0.00,3.19
2024-01-31,20.3,0.30,0.00,3.99
2024-02-01,20.6,9.30,0.00,4.38
2024-02-02,20.2,3.60,0.00,6.71
2024-02-03,20.1,0.90,0.00,6.04
2024-02-04,20.9,2.90,0.00,3.73
2024-02-05,20.5,9.60,0.00,3.28
2024-02-06,20.6,17.60,0.00,3.54
2024-02-07,20.2,7.40,0.00,4.34
2024-02-08,20.4,31.80,0.00,3.51
2024-02-09,20.9,19.50,0.00,3.77
2024-02-10,20.9,3.60,0.00,4.71
2024-02-11,21.7,1.30,0.00,4.46
2024-02-12,21.0,2.10,0.00,5.22
2024-02-13,20.6,1.30,0.00,5.59
2024-02-14,19.6,90.50,0.00,4.65
2024-02-15,20.7,19.20,0.00,5.48
2024-02-16,21.5,25.00,0.00,3.11
2024-02-17,20.3,20.40,0.00,2.34
2024-02-18,20.0,23.60,0.00,5.44
2024-02-19,19.3,0.20,0.00,5.81
2024-02-20,19.6,3.80,0.00,4.73
2024-02-21,19.8,0.10,0.00,3.40
2024-02-22,21.0,1.60,0.00,2.77
2024-02-23,21.6,0.20,0.00,4.34
2024-02-24,21.6,0.00,0.00,4.43
2024-02-25,21.1,0.00,0.00,5.35
2024-02-26,20.9,1.50,0.00,2.27
2024-02-27,20.6,25.20,0.00,4.84
2024-02-28,20.2,19.20,0.00,4.31
2024-02-29,19.8,12.40,0.00,3.41
2024-03-01,19.9,4.30,0.00,5.73
2024-03-02,19.4,0.60,0.00,6.20
2024-03-03,19.4,0.40,0.00,5.87
2024-03-04,20.7,39.20,0.00,6.80
2024-03-05,21.4,14.90,0.00,5.20
2024-03-06,21.7,9.40,0.00,3.42
2024-03-07,21.3,16.40,0.00,3.91
2024-03-08,21.3,7.50,0.00,3.14
2024-03-09,20.8,13.70,0.00,3.04
2024-03-10,19.8,0.20,0.00,4.10
2024-03-11,20.1,0.10,0.00,4.61
2024-03-12,21.2,2.00,0.00,5.10
2024-03-13,20.1,2.10,0.00,5.77
2024-03-14,20.9,0.00,0.00,4.13
2024-03-15,21.5,1.20,0.00,4.20
2024-03-16,20.5,4.00,0.00,4.13
2024-03-17,20.5,0.00,0.00,3.90
2024-03-18,20.8,0.30,0.00,4.05
2024-03-19,20.7,1.80,0.00,4.31
2024-03-20,20.3,4.70,0.00,3.93
2024-03-21,20.8,11.60,0.00,2.10
2024-03-22,20.1,1.00,0.00,5.39
2024-03-23,19.6,0.40,0.00,6.86
2024-03-24,19.9,1.70,0.00,7.87
2024-03-25,19.0,1.00,0.00,9.58
2024-03-26,17.5,0.00,0.00,7.21
2024-03-27,18.4,0.00,0.00,5.64
2024-03-28,18.9,0.20,0.00,5.24
2024-03-29,20.5,4.10,0.00,3.23
2024-03-30,20.8,0.70,0.00,3.11
2024-03-31,20.5,0.10,0.00,3.83
2024-04-01,20.5,0.40,0.00,5.25
2024-04-02,20.0,2.50,0.00,6.33
2024-04-03,19.9,1.10,0.00,5.55
2024-04-04,19.5,0.20,0.00,5.42
2024-04-05,20.0,0.20,0.00,3.73
2024-04-06,21.5,0.00,0.00,3.40
2024-04-07,20.9,0.00,0.00,4.36
2024-04-08,20.9,0.00,0.00,3.52
2024-04-09,21.1,0.40,0.00,2.51
2024-04-10,22.2,0.20,0.00,3.64
2024-04-11,21.9,0.00,0.00,4.40
2024-04-12,21.8,0.50,0.00,3.92
2024-04-13,21.2,1.40,0.00,4.27
2024-04-14,20.5,15.40,0.00,3.50
2024-04-15,19.4,1.70,0.00,6.70
2024-04-16,19.1,0.00,0.00,5.77
2024-04-17,18.0,0.20,0.00,6.28
2024-04-18,17.4,0.00,0.00,5.91
2024-04-19,17.6,0.10,0.00,4.44
2024-04-20,18.6,0.00,0.00,2.22
2024-04-21,19.7,0.00,0.00,2.80
2024-04-22,21.3,0.20,0.00,4.55
2024-04-23,21.2,0.00,0.00,3.07
2024-04-24,20.3,0.20,0.00,3.91
2024-04-25,20.0,0.10,0.00,4.02
2024-04-26,19.6,0.20,0.00,3.35
2024-04-27,20.1,0.80,0.00,3.63
2024-04-28,18.9,1.20,0.00,5.64
2024-04-29,18.8,0.00,0.00,6.60
2024-04-30,18.7,0.50,0.00,6.23
2024-05-01,18.5,5.60,0.00,3.28
2024-05-02,19.5,0.30,0.00,3.23
2024-05-03,19.1,1.50,0.00,4.30
2024-05-04,18.4,0.00,0.00,5.64
2024-05-05,17.1,0.00,0.00,5.09
2024-05-06,17.2,0.00,0.00,4.02
2024-05-07,16.9,0.00,0.00,5.32
2024-05-08,17.1,0.00,0.00,7.69
2024-05-09,17.0,0.00,0.00,7.30
2024-05-10,17.5,0.00,0.00,6.40
2024-05-11,17.6,0.00,0.00,5.64
