time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2021-01-01,10.1,0.00,0.00,4.40
2021-01-02,10.3,6.90,0.00,5.00
2021-01-03,10.2,0.00,0.00,3.32
2021-01-04,11.4,6.40,0.00,11.11
2021-01-05,9.2,0.00,0.00,7.75
2021-01-06,8.6,0.30,0.00,3.49
2021-01-07,9.6,0.10,0.00,5.15
2021-01-08,9.7,2.10,0.00,4.72
2021-01-09,8.8,0.00,0.00,5.12
2021-01-10,9.4,0.40,0.00,4.28
2021-01-11,9.7,0.00,0.00,4.62
2021-01-12,10.0,0.00,0.00,3.68
2021-01-13,11.3,0.20,0.00,3.56
2021-01-14,12.2,0.00,0.00,5.18
2021-01-15,11.4,0.00,0.00,6.12
2021-01-16,11.4,0.00,0.00,5.80
2021-01-17,12.5,0.00,0.00,4.26
2021-01-18,13.2,0.00,0.00,5.81
2021-01-19,14.5,0.00,0.00,13.54
2021-01-20,11.6,0.00,0.00,6.80
2021-01-21,10.8,0.00,0.00,4.97
2021-01-22,10.0,3.00,0.00,7.40
2021-01-23,8.9,0.00,0.00,7.37
2021-01-24,8.8,0.50,0.00,7.43
2021-01-25,8.2,2.60,0.00,11.88
2021-01-26,7.1,0.20,0.00,10.20
2021-01-27,10.0,24.00,0.00,15.45
2021-01-28,10.0,20.80,0.00,10.45
2021-01-29,8.8,4.10,0.00,4.37
2021-01-30,9.0,0.00,0.00,3.77
2021-01-31,10.6,0.30,0.00,3.35
2021-02-01,11.1,0.30,0.00,7.00
2021-02-02,12.1,19.30,0.00,7.92
2021-02-03,9.5,0.30,0.00,5.55
2021-02-04,9.5,0.00,0.00,6.55
2021-02-05,10.1,0.00,0.00,5.90
2021-02-06,10.7,0.00,0.00,4.54
2021-02-07,10.2,0.00,0.00,6.40
2021-02-08,9.7,0.00,0.00,5.91
2021-02-09,10.3,0.20,0.00,4.44
2021-02-10,10.5,0.10,0.00,6.43
2021-02-11,10.7,2.80,0.00,6.72
2021-02-12,11.1,7.40,0.00,9.44
2021-02-13,11.6,0.30,0.00,10.12
2021-02-14,10.2,0.00,0.00,9.28
2021-02-15,12.2,6.00,0.00,8.50
2021-02-16,10.6,0.00,0.00,7.89
2021-02-17,10.6,0.00,0.00,6.99
2021-02-18,11.2,0.00,0.00,3.70
2021-02-19,11.8,3.90,0.00,7.27
2021-02-20,10.9,1.20,0.00,9.71
2021-02-21,10.2,0.00,0.00,7.47
2021-02-22,12.2,0.00,0.00,5.91
2021-02-23,13.4,0.00,0.00,8.60
2021-02-24,13.7,0.00,0.00,5.25
2021-02-25,12.0,0.00,0.00,9.62
2021-02-26,11.2,0.00,0.00,8.44
2021-02-27,10.0,0.00,0.00,7.24
2021-02-28,11.9,0.00,0.00,7.69
2021-03-01,11.5,0.00,0.00,3.56
2021-03-02,11.3,0.00,0.00,6.78
2021-03-03,10.3,0.00,0.00,9.32
2021-03-04,10.2,0.00,0.00,9.24
2021-03-05,10.6,0.00,0.00,6.26
2021-03-06,10.2,6.60,0.00,12.61
2021-03-07,9.4,0.00,0.00,8.10
2021-03-08,10.1,0.10,0.00,9.00
2021-03-09,10.0,3.20,0.00,8.22
2021-03-10,8.9,12.20,0.00,6.81
2021-03-11,8.7,2.60,0.00,6.45
2021-03-12,9.8,0.00,0.00,8.02
2021-03-13,10.2,0.00,0.00,9.34
2021-03-14,10.0,0.10,0.00,9.07
2021-03-15,8.8,6.20,0.00,11.36
2021-03-16,8.4,0.00,0.00,6.77
2021-03-17,8.6,0.00,0.00,5.51
2021-03-18,10.4,7.10,0.00,7.53
2021-03-19,11.1,1.70,0.00,7.30
2021-03-20,10.1,0.00,0.00,8.61
2021-03-21,10.0,0.00,0.00,9.08
2021-03-22,10.2,0.00,0.00,9.99
2021-03-23,11.9,0.00,0.00,11.49
2021-03-24,12.7,0.00,0.00,7.67
2021-03-25,10.8,0.00,0.00,8.25
2021-03-26,11.9,0.00,0.00,7.12
2021-03-27,11.1,0.00,0.00,7.11
2021-03-28,10.9,0.00,0.00,6.11
2021-03-29,10.9,0.00,0.00,7.77
2021-03-30,13.6,0.00,0.00,5.12
2021-03-31,14.7,0.00,0.00,5.70
2021-04-01,16.3,0.00,0.00,6.50
2021-04-02,12.0,0.00,0.00,7.83
2021-04-03,10.8,0.00,0.00,8.71
2021-04-04,11.3,0.00,0.00,9.82
2021-04-05,10.9,0.00,0.00,8.62
2021-04-06,10.4,0.00,0.00,8.01
2021-04-07,10.4,0.00,0.00,9.87
2021-04-08,10.6,0.00,0.00,8.54
2021-04-09,11.3,0.00,0.00,10.33
2021-04-10,10.1,0.00,0.00,9.81
2021-04-11,11.2,0.00,0.00,8.27
2021-04-12,10.7,0.00,0.00,7.98
2021-04-13,11.3,0.00,0.00,10.34
2021-04-14,11.2,0.00,0.00,9.00
2021-04-15,11.0,0.00,0.00,7.54
2021-04-16,10.4,0.00,0.00,9.28
2021-04-17,11.9,0.00,0.00,8.93
2021-04-18,13.8,0.00,0.00,8.71
2021-04-19,13.3,0.00,0.00,8.01
2021-04-20,12.5,0.00,0.00,13.09
2021-04-21,11.8,0.00,0.00,11.70
2021-04-22,11.0,0.00,0.00,9.02
2021-04-23,11.2,0.00,0.00,9.54
2021-04-24,11.2,0.00,0.00,10.36
2021-04-25,11.4,3.90,0.00,9.85
2021-04-26,10.8,0.00,0.00,9.80
2021-04-27,11.6,0.00,0.00,9.40
2021-04-28,13.1,0.00,0.00,8.13
2021-04-29,13.2,0.00,0.00,7.78
2021-04-30,13.0,0.00,0.00,9.79
2021-05-01,13.0,0.00,0.00,11.62
2021-05-02,13.6,0.00,0.00,11.69
2021-05-03,15.1,0.00,0.00,9.51
2021-05-04,15.4,0.00,0.00,9.21
2021-05-05,13.6,0.00,0.00,8.38
2021-05-06,12.2,0.00,0.00,10.22
2021-05-07,13.1,0.00,0.00,10.39
2021-05-08,16.4,0.00,0.00,9.26
2021-05-09,17.2,0.00,0.00,9.27
2021-05-10,15.4,0.00,0.00,9.21
2021-05-11,14.3,0.00,0.00,9.32
2021-05-12,12.0,0.00,0.00,8.35
2021-05-13,11.1,0.00,0.00,8.61
2021-05-14,11.9,0.00,0.00,10.48
2021-05-15,11.9,0.30,0.00,10.86
2021-05-16,12.0,0.00,0.00,8.99
2021-05-17,11.6,0.00,0.00,11.53
2021-05-18,13.1,0.00,0.00,11.23
2021-05-19,12.9,0.00,0.00,12.69
2021-05-20,12.4,0.00,0.00,12.57
2021-05-21,13.2,0.00,0.00,10.62
2021-05-22,12.5,0.00,0.00,9.22
2021-05-23,11.7,0.00,0.00,9.90
2021-05-24,12.5,0.00,0.00,9.27
2021-05-25,14.0,0.00,0.00,9.60
2021-05-26,13.4,0.00,0.00,9.22
2021-05-27,13.3,0.00,0.00,9.81
2021-05-28,13.1,0.00,0.00,9.04
2021-05-29,12.6,0.00,0.00,9.31
2021-05-30,13.0,0.00,0.00,10.48
2021-05-31,14.8,0.00,0.00,8.58
2021-06-01,14.1,0.00,0.00,9.35
2021-06-02,12.3,0.00,0.00,9.27
2021-06-03,12.9,0.00,0.00,9.27
2021-06-04,14.7,0.00,0.00,10.04
2021-06-05,14.6,0.00,0.00,10.47
2021-06-06,15.3,0.00,0.00,8.02
2021-06-07,14.5,0.00,0.00,13.35
2021-06-08,13.0,0.00,0.00,11.66
2021-06-09,12.7,0.00,0.00,10.44
2021-06-10,12.8,0.00,0.00,11.10
2021-06-11,13.7,0.00,0.00,9.63
2021-06-12,15.6,0.00,0.00,8.87
2021-06-13,15.9,0.00,0.00,8.81
2021-06-14,16.3,0.10,0.00,10.21
2021-06-15,16.3,0.00,0.00,9.65
2021-06-16,17.8,0.00,0.00,8.40
2021-06-17,18.8,0.00,0.00,8.01
2021-06-18,17.5,0.00,0.00,8.25
2021-06-19,15.6,0.00,0.00,9.00
2021-06-20,14.6,0.00,0.00,9.03
2021-06-21,15.2,0.00,0.00,9.26
2021-06-22,16.5,0.40,0.00,9.35
2021-06-23,15.9,0.10,0.00,8.13
2021-06-24,14.5,0.00,0.00,8.41
2021-06-25,13.8,0.00,0.00,9.69
2021-06-26,13.7,0.00,0.00,9.95
2021-06-27,13.9,0.00,0.00,9.85
2021-06-28,14.4,0.30,0.00,10.67
2021-06-29,15.1,0.00,0.00,10.11
2021-06-30,15.3,0.00,0.00,9.30
2021-07-01,14.7,0.00,0.00,8.97
2021-07-02,14.6,0.00,0.00,8.52
2021-07-03,14.5,0.00,0.00,8.08
2021-07-04,14.8,0.00,0.00,8.69
2021-07-05,14.4,0.00,0.00,9.00
2021-07-06,13.7,0.00,0.00,11.02
2021-07-07,13.7,0.00,0.00,10.70
2021-07-08,13.5,0.00,0.00,9.11
2021-07-09,15.1,0.00,0.00,8.68
2021-07-10,14.8,0.00,0.00,8.80
2021-07-11,15.0,0.00,0.00,9.70
2021-07-12,13.6,0.00,0.00,10.07
2021-07-13,13.5,0.00,0.00,9.66
2021-07-14,13.7,0.00,0.00,8.88
