time,temperature_2m_mean (°C),rain_sum (mm),snowfall_sum (cm),wind_speed_10m_max (m/s)
2023-01-01,-3.8,0.00,0.00,5.33
2023-01-02,-6.1,0.00,0.00,3.94
2023-01-03,-5.2,0.00,0.00,3.80
2023-01-04,-3.8,0.00,0.00,3.67
2023-01-05,-2.8,0.00,0.00,3.14
2023-01-06,0.9,0.50,2.94,4.51
2023-01-07,-1.6,0.00,0.00,5.59
2023-01-08,1.6,0.00,0.00,2.42
2023-01-09,-0.9,0.00,0.00,5.33
2023-01-10,-0.7,0.00,0.00,3.26
2023-01-11,0.1,0.00,0.00,2.62
2023-01-12,4.7,16.10,0.00,4.92
2023-01-13,6.4,2.70,0.00,4.10
2023-01-14,3.4,4.10,1.82,5.95
2023-01-15,-3.4,0.10,1.40,4.30
2023-01-16,-6.4,0.00,0.00,3.72
2023-01-17,-4.3,0.00,0.00,1.84
2023-01-18,-4.4,0.00,0.00,3.10
2023-01-19,-0.0,0.00,1.19,6.35
2023-01-20,-7.4,0.00,0.00,7.31
2023-01-21,-5.1,0.00,0.07,3.41
2023-01-22,-1.9,0.00,0.35,3.01
2023-01-23,-5.5,0.00,0.00,7.46
2023-01-24,-15.7,0.00,0.00,8.28
2023-01-25,-9.4,0.00,0.49,3.20
2023-01-26,-8.1,0.00,0.28,3.76
2023-01-27,-8.7,0.00,0.00,7.28
2023-01-28,-6.8,0.00,0.00,5.70
2023-01-29,-2.5,0.00,0.28,7.60
2023-01-30,-2.9,0.00,0.00,4.60
2023-01-31,2.2,0.20,0.00,6.30
2023-02-01,-1.9,0.00,0.00,6.71
2023-02-02,-3.0,0.00,0.00,3.04
2023-02-03,-3.3,0.00,0.00,4.15
2023-02-04,-1.7,0.00,0.00,4.26
2023-02-05,-0.2,0.00,0.00,4.90
2023-02-06,0.8,0.00,0.00,3.10
2023-02-07,0.5,0.00,0.00,2.75
2023-02-08,-0.0,0.00,0.00,4.34
2023-02-09,3.9,1.90,0.07,5.38
2023-02-10,0.8,0.00,0.00,3.94
2023-02-11,-0.0,0.00,0.00,2.92
2023-02-12,4.0,0.00,0.00,3.77
2023-02-13,2.8,0.50,0.00,3.35
2023-02-14,0.4,0.00,0.00,4.06
2023-02-15,2.1,0.00,0.07,4.57
2023-02-16,-0.1,0.00,0.00,5.74
2023-02-17,2.3,0.00,0.00,2.71
2023-02-18,4.5,0.00,0.00,3.70
2023-02-19,-0.0,0.00,0.00,6.85
2023-02-20,-3.0,0.00,0.00,7.27
2023-02-21,-2.8,0.00,0.00,2.21
2023-02-22,-1.0,0.00,0.00,3.90
2023-02-23,1.7,0.00,0.00,4.27
2023-02-24,0.6,0.00,0.00,5.77
2023-02-25,-1.0,0.00,0.00,5.60
2023-02-26,-0.0,0.00,0.00,3.90
2023-02-27,1.1,0.00,0.00,3.88
2023-02-28,5.0,0.30,0.00,5.59
2023-03-01,2.8,0.00,0.00,7.34
2023-03-02,0.1,0.00,0.00,5.12
2023-03-03,3.3,0.00,0.00,5.61
2023-03-04,4.6,0.00,0.00,3.71
2023-03-05,4.8,0.00,0.00,3.52
2023-03-06,7.2,0.00,0.00,4.55
2023-03-07,9.4,0.40,0.00,5.21
2023-03-08,11.3,7.00,0.00,4.69
2023-03-09,6.6,0.00,0.00,3.94
2023-03-10,11.2,0.00,0.00,4.05
2023-03-11,11.0,1.10,0.00,4.78
2023-03-12,1.7,6.20,0.00,7.52
2023-03-13,2.5,0.00,0.00,5.26
2023-03-14,7.0,0.00,0.00,6.08
2023-03-15,6.1,0.30,0.00,8.59
2023-03-16,3.3,0.00,0.00,5.25
2023-03-17,5.7,0.00,0.00,2.48
2023-03-18,5.3,0.00,0.00,5.61
2023-03-19,5.5,0.00,0.00,4.34
2023-03-20,7.0,0.60,0.00,3.11
2023-03-21,10.5,0.00,0.00,3.12
2023-03-22,16.3,2.00,0.00,4.74
2023-03-23,13.2,0.10,0.00,5.32
2023-03-24,11.3,0.00,0.00,3.55
2023-03-25,10.6,0.10,0.00,3.54
2023-03-26,6.5,0.00,0.00,6.69
2023-03-27,6.1,0.00,0.00,5.57
2023-03-28,7.9,0.00,0.00,4.05
2023-03-29,10.5,0.00,0.00,4.75
2023-03-30,11.3,0.00,0.00,4.83
2023-03-31,13.3,0.00,0.00,4.20
2023-04-01,16.7,0.00,0.00,4.14
2023-04-02,16.0,0.00,0.00,4.52
2023-04-03,17.9,0.00,0.00,4.34
2023-04-04,15.7,25.30,0.00,7.26
2023-04-05,11.0,27.90,0.00,6.72
2023-04-06,7.6,2.50,0.00,4.69
2023-04-07,7.2,0.30,0.00,7.71
2023-04-08,7.3,0.00,0.00,6.50
2023-04-09,9.3,0.00,0.00,6.50
2023-04-10,13.2,0.00,0.00,9.21
2023-04-11,9.9,2.20,0.00,10.61
2023-04-12,7.9,0.00,0.00,7.43
2023-04-13,11.7,0.60,0.00,4.03
2023-04-14,14.2,0.10,0.00,4.24
2023-04-15,9.6,5.40,0.00,3.84
2023-04-16,9.2,1.00,0.00,6.22
2023-04-17,12.4,18.80,0.00,4.43
2023-04-18,12.7,1.50,0.00,4.00
2023-04-19,17.8,0.00,0.00,4.06
2023-04-20,13.6,0.00,0.00,4.42
2023-04-21,15.3,0.00,0.00,4.90
2023-04-22,13.5,0.00,0.00,5.00
2023-04-23,15.2,0.00,0.00,4.96
2023-04-24,13.1,0.30,0.00,6.38
2023-04-25,9.9,1.70,0.00,5.79
2023-04-26,8.6,0.00,0.00,5.89
2023-04-27,12.1,0.00,0.00,4.15
2023-04-28,15.8,9.70,0.00,5.61
2023-04-29,10.8,5.20,0.00,7.53
2023-04-30,11.8,1.20,0.00,7.08
2023-05-01,12.4,0.00,0.00,5.06
2023-05-02,16.4,0.00,0.00,4.05
2023-05-03,18.1,0.00,0.00,4.56
2023-05-04,20.7,15.10,0.00,5.29
2023-05-05,16.7,62.20,0.00,8.16
2023-05-06,11.6,18.60,0.00,7.29
2023-05-07,11.5,0.00,0.00,4.97
2023-05-08,13.2,0.00,0.00,4.32
2023-05-09,13.5,0.00,0.00,4.74
2023-05-10,15.7,0.00,0.00,3.20
2023-05-11,16.6,0.00,0.00,4.49
2023-05-12,15.4,0.00,0.00,3.70
2023-05-13,16.1,0.00,0.00,3.61
2023-05-14,16.0,0.00,0.00,4.18
2023-05-15,19.0,0.00,0.00,4.54
2023-05-16,20.8,0.00,0.00,4.89
2023-05-17,20.4,0.10,0.00,7.45
2023-05-18,20.4,0.10,0.00,4.92
2023-05-19,20.8,0.00,0.00,4.05
2023-05-20,18.5,1.10,0.00,7.12
2023-05-21,16.8,0.00,0.00,5.69
2023-05-22,18.3,0.00,0.00,4.18
2023-05-23,18.8,0.00,0.00,2.84
2023-05-24,19.0,0.00,0.00,4.72
2023-05-25,19.8,0.10,0.00,6.00
2023-05-26,20.7,0.00,0.00,5.22
2023-05-27,18.9,30.90,0.00,4.02
2023-05-28,18.8,37.00,0.00,3.91
2023-05-29,21.8,0.20,0.00,3.24
2023-05-30,21.2,1.40,0.00,4.95
2023-05-31,20.7,0.00,0.00,4.20
2023-06-01,20.4,1.10,0.00,3.23
2023-06-02,18.7,0.70,0.00,4.75
2023-06-03,19.7,0.00,0.00,6.29
2023-06-04,19.4,0.00,0.00,5.22
2023-06-05,18.9,0.00,0.00,6.26
2023-06-06,19.2,0.30,0.00,5.20
2023-06-07,20.6,0.20,0.00,4.99
2023-06-08,19.3,23.50,0.00,4.61
2023-06-09,21.8,2.70,0.00,4.50
2023-06-10,20.8,34.10,0.00,4.43
2023-06-11,20.8,5.20,0.00,2.77
2023-06-12,21.0,1.10,0.00,3.81
2023-06-13,19.8,0.00,0.00,5.59
2023-06-14,20.6,2.70,0.00,2.75
2023-06-15,20.9,0.90,0.00,4.00
2023-06-16,21.3,0.00,0.00,4.10
2023-06-17,22.3,0.00,0.00,4.66
2023-06-18,24.2,0.00,0.00,4.34
2023-06-19,26.7,0.00,0.00,3.92
2023-06-20,22.5,39.60,0.00,3.92
2023-06-21,20.2,1.00,0.00,3.18
2023-06-22,20.9,1.40,0.00,5.18
2023-06-23,23.5,0.10,0.00,2.80
2023-06-24,24.5,0.10,0.00,2.94
2023-06-25,26.2,16.00,0.00,5.81
2023-06-26,23.1,30.80,0.00,7.40
2023-06-27,23.9,0.70,0.00,5.24
2023-06-28,24.8,4.10,0.00,4.70
2023-06-29,23.1,51.80,0.00,6.50
2023-06-30,24.3,2.20,0.00,2.86
2023-07-01,25.6,0.20,0.00,3.91
2023-07-02,24.9,0.20,0.00,2.91
2023-07-03,27.6,0.10,0.00,3.16
2023-07-04,24.9,49.10,0.00,8.01
2023-07-05,23.2,0.10,0.00,7.06
2023-07-06,25.9,0.00,0.00,5.52
2023-07-07,24.3,0.00,0.00,5.42
2023-07-08,25.0,0.90,0.00,4.80
2023-07-09,24.2,37.70,0.00,4.00
2023-07-10,24.9,7.30,0.00,5.74
2023-07-11,23.1,39.80,0.00,5.30
2023-07-12,25.8,3.60,0.00,2.91
2023-07-13,24.6,93.70,0.00,6.31
2023-07-14,24.5,36.90,0.00,5.73
2023-07-15,24.1,9.80,0.00,7.38
2023-07-16,23.8,3.30,0.00,5.27
2023-07-17,24.5,5.80,0.00,4.59
2023-07-18,23.7,11.10,0.00,2.38
2023-07-19,25.6,0.10,0.00,2.94
2023-07-20,26.4,0.00,0.00,3.76
2023-07-21,28.0,0.10,0.00,4.02
2023-07-22,26.1,33.60,0.00,6.51
2023-07-23,24.8,34.50,0.00,5.25
2023-07-24,25.7,3.80,0.00,3.71
2023-07-25,25.1,27.50,0.00,4.72
2023-07-26,25.2,13.60,0.00,4.66
2023-07-27,26.4,2.30,0.00,4.10
2023-07-28,28.0,2.20,0.00,3.77
2023-07-29,27.2,0.20,0.00,3.81
2023-07-30,28.2,0.10,0.00,2.28
2023-07-31,27.6,0.30,0.00,2.72
2023-08-01,28.5,0.30,0.00,2.36
2023-08-02,26.9,0.00,0.00,3.83
2023-08-03,27.5,0.00,0.00,3.83
2023-08-04,28.0,0.00,0.00,3.35
2023-08-05,28.5,0.00,0.00,5.05
2023-08-06,28.4,13.10,0.00,3.85
2023-08-07,28.1,4.50,0.00,4.56
2023-08-08,28.8,0.00,0.00,4.83
2023-08-09,26.7,24.20,0.00,5.55
2023-08-10,21.8,69.50,0.00,7.14
2023-08-11,23.5,21.50,0.00,6.22
2023-08-12,24.1,2.50,0.00,4.12
2023-08-13,26.7,0.20,0.00,2.53
2023-08-14,27.1,0.20,0.00,2.82
2023-08-15,26.8,0.00,0.00,2.52
2023-08-16,25.9,1.00,0.00,3.04
2023-08-17,27.1,0.10,0.00,1.87
2023-08-18,27.3,1.30,0.00,2.61
2023-08-19,26.7,0.20,0.00,3.86
2023-08-20,26.8,0.00,0.00,3.08
2023-08-21,27.4,7.50,0.00,4.74
2023-08-22,25.5,44.90,0.00,5.15
2023-08-23,24.0,48.70,0.00,3.75
2023-08-24,24.9,4.60,0.00,4.16
2023-08-25,24.6,0.90,0.00,5.36
2023-08-26,24.6,0.00,0.00,3.13
2023-08-27,24.1,16.10,0.00,3.90
2023-08-28,23.8,24.60,0.00,5.92
2023-08-29,22.5,22.10,0.00,6.03
2023-08-30,22.5,2.80,0.00,3.01
2023-08-31,22.4,0.20,0.00,3.18
2023-09-01,22.7,0.00,0.00,3.14
2023-09-02,24.6,1.30,0.00,2.40
2023-09-03,25.5,5.20,0.00,2.70
2023-09-04,25.2,5.40,0.00,2.35
2023-09-05,25.8,0.60,0.00,3.20
2023-09-06,25.0,0.00,0.00,3.98
2023-09-07,23.5,0.00,0.00,3.40
2023-09-08,23.4,0.00,0.00,2.62
2023-09-09,24.0,0.00,0.00,2.92
2023-09-10,24.2,0.40,0.00,2.35
2023-09-11,23.7,0.50,0.00,3.31
2023-09-12,24.2,3.30,0.00,2.68
2023-09-13,20.6,16.00,0.00,2.91
2023-09-14,22.9,1.20,0.00,5.20
2023-09-15,21.6,9.50,0.00,3.39
